iter	MultiClass
0	1.625869464
1	1.45241861
2	1.289599871
3	1.160749025
4	1.042039781
5	0.9477828719
6	0.87826247
7	0.822686483
8	0.7652602035
9	0.7113198298
10	0.6638367758
11	0.6269790542
12	0.5882946563
13	0.5568646342
14	0.529165678
15	0.5035693331
16	0.4797581869
17	0.4585332779
18	0.4387783051
19	0.4167208529
20	0.4000270425
21	0.384109941
22	0.371211236
23	0.3570151457
24	0.3482490431
25	0.3403830785
26	0.3291002804
27	0.3185307352
28	0.3105865779
29	0.3046319548
30	0.2978573765
31	0.2892449812
32	0.2831918029
33	0.2782791652
34	0.2742644384
35	0.2670206475
36	0.2619417782
37	0.2570965176
38	0.2524419956
39	0.2491791113
40	0.2441242523
41	0.2405125922
42	0.2348775818
43	0.2310792073
44	0.2273937501
45	0.2234495786
46	0.2204121401
47	0.2175958311
48	0.2155782814
49	0.2127719113
50	0.209585185
51	0.2071819746
52	0.2050932389
53	0.2033053109
54	0.2019681162
55	0.1997204352
56	0.1968270443
57	0.1941844361
58	0.1919001196
59	0.190070718
60	0.1875367727
61	0.1854599065
62	0.1836489576
63	0.1822137002
64	0.1801824137
65	0.1785965848
66	0.1773573702
67	0.1757483065
68	0.1740278461
69	0.1721593324
70	0.170407394
71	0.1691955183
72	0.1680319306
73	0.1659488912
74	0.1645863574
75	0.1635441791
76	0.1623436804
77	0.1615466039
78	0.1605660298
79	0.1592590568
80	0.1567194421
81	0.155949336
82	0.1547368107
83	0.1526844045
84	0.1518667319
85	0.1500529409
86	0.1491383701
87	0.1476737257
88	0.1468059738
89	0.1454523742
90	0.1445613634
91	0.1434957698
92	0.1429285006
93	0.1419193609
94	0.1413494564
95	0.140111688
96	0.1392176028
97	0.138741043
98	0.1379339715
99	0.1369504168
