iter	Passed	Remaining
0	10	1021
1	13	673
2	16	542
3	19	476
4	23	441
5	27	427
6	30	405
7	33	385
8	36	368
9	40	361
10	43	351
11	46	340
12	49	331
13	52	324
14	56	317
15	59	313
16	62	307
17	65	300
18	69	295
19	72	290
20	76	288
21	79	282
22	82	276
23	85	271
24	89	268
25	92	264
26	96	259
27	99	254
28	101	249
29	106	247
30	109	243
31	111	237
32	114	232
33	117	227
34	120	222
35	123	218
36	126	214
37	128	210
38	131	205
39	134	201
40	136	196
41	139	192
42	142	188
43	145	184
44	148	181
45	151	177
46	154	174
47	157	171
48	160	166
49	163	163
50	165	159
51	168	155
52	171	152
53	174	148
54	176	144
55	179	140
56	181	137
57	184	133
58	187	130
59	190	126
60	192	123
61	195	120
62	198	116
63	200	113
64	203	109
65	206	106
66	208	102
67	211	99
68	214	96
69	216	92
70	220	89
71	223	86
72	226	83
73	228	80
74	231	77
75	234	74
76	237	70
77	239	67
78	242	64
79	245	61
80	247	58
81	250	55
82	253	51
83	256	48
84	259	45
85	261	42
86	264	39
87	267	36
88	271	33
89	274	30
90	277	27
91	280	24
92	283	21
93	286	18
94	289	15
95	292	12
96	295	9
97	297	6
98	300	3
99	303	0
